Date,Airport,Latitude,Longitude
2015-01-01,DFW,32.896,-97.037
2015-01-02,DFW,32.896,-97.037
2015-01-03,DFW,32.896,-97.037
2015-01-04,DFW,32.896,-97.037
2015-01-05,DFW,32.896,-97.037
2015-01-06,DFW,32.896,-97.037
2015-01-07,DFW,32.896,-97.037
2015-01-08,DFW,32.896,-97.037
2015-01-09,DFW,32.896,-97.037
2015-01-10,DFW,32.896,-97.037
2015-01-11,DFW,32.896,-97.037
2015-01-12,DFW,32.896,-97.037
2015-01-13,DFW,32.896,-97.037
2015-01-14,DFW,32.896,-97.037
2015-01-15,DFW,32.896,-97.037
2015-01-16,DFW,32.896,-97.037
2015-01-17,DFW,32.896,-97.037
2015-01-18,DFW,32.896,-97.037
2015-01-19,DFW,32.896,-97.037
2015-01-20,DFW,32.896,-97.037
2015-01-21,DFW,32.896,-97.037
2015-01-22,DFW,32.896,-97.037
2015-01-23,DFW,32.896,-97.037
2015-01-24,DFW,32.896,-97.037
2015-01-25,DFW,32.896,-97.037
2015-01-26,DFW,32.896,-97.037
2015-01-27,DFW,32.896,-97.037
2015-01-28,DFW,32.896,-97.037
2015-01-29,DFW,32.896,-97.037
2015-01-30,DFW,32.896,-97.037
2015-01-31,DFW,32.896,-97.037
2015-02-01,DFW,32.896,-97.037
2015-02-02,DFW,32.896,-97.037
2015-02-03,DFW,32.896,-97.037
2015-02-04,DFW,32.896,-97.037
2015-02-05,DFW,32.896,-97.037
2015-02-06,DFW,32.896,-97.037
2015-02-07,DFW,32.896,-97.037
2015-02-08,DFW,32.896,-97.037
2015-02-09,DFW,32.896,-97.037
2015-02-10,DFW,32.896,-97.037
2015-02-11,DFW,32.896,-97.037
2015-02-12,DFW,32.896,-97.037
2015-02-13,DFW,32.896,-97.037
2015-02-14,DFW,32.896,-97.037
2015-02-15,DFW,32.896,-97.037
2015-02-16,DFW,32.896,-97.037
2015-02-17,DFW,32.896,-97.037
2015-02-18,DFW,32.896,-97.037
2015-02-19,DFW,32.896,-97.037
2015-02-20,DFW,32.896,-97.037
2015-02-21,DFW,32.896,-97.037
2015-02-22,DFW,32.896,-97.037
2015-02-23,DFW,32.896,-97.037
2015-02-24,DFW,32.896,-97.037
2015-02-25,DFW,32.896,-97.037
2015-02-26,DFW,32.896,-97.037
2015-02-27,DFW,32.896,-97.037
2015-02-28,DFW,32.896,-97.037
2015-03-01,DFW,32.896,-97.037
2015-03-02,DFW,32.896,-97.037
2015-03-03,DFW,32.896,-97.037
2015-03-04,DFW,32.896,-97.037
2015-03-05,DFW,32.896,-97.037
2015-03-06,DFW,32.896,-97.037
2015-03-07,DFW,32.896,-97.037
2015-03-08,DFW,32.896,-97.037
2015-03-09,DFW,32.896,-97.037
2015-03-10,DFW,32.896,-97.037
2015-03-11,DFW,32.896,-97.037
2015-03-12,DFW,32.896,-97.037
2015-03-13,DFW,32.896,-97.037
2015-03-14,DFW,32.896,-97.037
2015-03-15,DFW,32.896,-97.037
2015-03-16,DFW,32.896,-97.037
2015-03-17,DFW,32.896,-97.037
2015-03-18,DFW,32.896,-97.037
2015-03-19,DFW,32.896,-97.037
2015-03-20,DFW,32.896,-97.037
2015-03-21,DFW,32.896,-97.037
2015-03-22,DFW,32.896,-97.037
