Airport,Latitude,Longitude
ABI,32.411,-99.682
ACK,41.253,-70.06
ACT,31.611,-97.23
ACY,39.458,-74.577
ADM,34.303000000000004,-97.019
ADW,38.811,-76.867
AEX,31.327,-92.548
AGS,33.37,-81.964
AKR,41.038,-81.467
ALB,42.74800000000001,-73.803
ALI,27.741,-98.027
AMA,35.219,-101.706
ANB,33.588,-85.85799999999998
AND,34.495,-82.709
AOO,40.296,-78.32
APG,39.466,-76.169
ARA,30.038,-91.884
ART,43.992,-76.02199999999998
ATL,33.64,-84.427
AUG,44.32100000000001,-69.797
AUS,30.194000000000006,-97.67
BAB,39.136,-121.436
BAD,32.501999999999995,-93.663
BCT,26.378,-80.107
BDE,48.728,-94.612
BDL,41.93899999999999,-72.683
BDR,41.163,-73.126
BED,42.47,-71.289
BFI,47.53,-122.302
BFL,35.433,-119.057
BFM,30.626,-88.068
BGR,44.807,-68.828
BHM,33.563,-86.75299999999999
BIF,31.849,-106.38
BIX,30.411,-88.92399999999998
BKF,39.702,-104.751
BLI,48.792,-122.537
BLV,38.545,-89.835
BNA,36.124,-86.678
BOI,43.56399999999999,-116.223
BOS,42.364,-71.005
BPT,29.951,-94.021
BRO,25.907,-97.426
BTR,30.533,-91.149
BTV,44.472,-73.153
BUF,42.94,-78.732
BUR,34.201,-118.359
BWI,39.175,-76.668
BYH,35.964,-89.943
BYS,35.28,-116.63
CAE,33.939,-81.119
CAR,46.871,-68.018
CBM,33.644,-88.444
CDC,37.701,-113.099
CDS,34.434,-100.288
CEF,42.198,-72.53399999999998
CEW,30.779,-86.522
CFD,30.716,-96.331
CHA,35.035,-85.204
CHS,32.899,-80.04
CIC,39.795,-121.858
CLE,41.412,-81.85
CLL,30.588,-96.364
CLT,35.214,-80.943
CMH,39.99800000000001,-82.89200000000002
CNM,32.337,-104.263
CNW,31.638,-97.074
COF,28.235,-80.61
COS,38.806,-104.7
COT,28.458,-99.22
COU,38.81800000000001,-92.219
CPR,42.908,-106.464
CRP,27.77,-97.501
CTB,48.608,-112.376
CVG,39.046,-84.662
CVS,34.383,-103.322
CXL,32.669000000000004,-115.513
CXO,30.352,-95.414
CYS,41.15600000000001,-104.812
DAL,32.847,-96.852
DAY,39.902,-84.219
DCA,38.852,-77.03699999999998
DEN,39.858,-104.667
DET,42.409,-83.01
DFW,32.896,-97.037
DHN,31.321,-85.449
DHT,36.023,-102.547
DLF,29.359,-100.778
DLH,46.842,-92.194
DMA,32.166,-110.883
DOV,39.13,-75.46600000000002
DPA,41.908,-88.249
DRI,30.832,-93.34
DRO,37.151,-107.754
DRT,29.373,-100.926
DSM,41.534,-93.663
DTW,42.212,-83.353
DUG,31.469,-109.604
DYS,32.421,-99.854
ECG,36.261,-76.17399999999998
EDW,34.905,-117.884
EFD,29.607,-95.159
EGP,28.7,-100.479
EKN,38.889,-79.857
ELD,33.221,-92.813
ELP,31.807,-106.378
END,36.34,-97.916
ENV,40.719,-114.031
ESF,31.395,-92.296
EWN,35.073,-77.043
EWR,40.692,-74.169
EYW,24.556,-81.759
FAF,37.133,-76.609
FAT,36.776,-119.718
FCS,38.678,-104.756
