,Date,# Cancelled Flights,# Non-Cancelled Flights,Total Flights
0,2015-01-31,1250,108150,109400
1,2015-02-28,4296,96062,100358
2,2015-03-31,1759,116298,118057
3,2015-04-30,585,112765,113350
4,2015-05-31,919,116066,116985
5,2015-06-30,886,117737,118623
6,2015-07-31,243,122228,122471
7,2015-08-31,355,121185,121540
8,2015-09-30,187,112242,112429
9,2015-10-31,371,116546,116917
10,2015-11-30,836,108694,109530
11,2015-12-31,1816,109926,111742
12,2016-01-31,1138,97493,98631
13,2016-02-29,826,92533,93359
14,2016-03-31,1016,104878,105894
15,2016-04-30,816,102052,102868
16,2016-05-31,257,107708,107965
17,2016-06-30,496,109361,109857
18,2016-07-31,539,112555,113094
19,2016-08-31,516,112276,112792
20,2016-09-30,93,104505,104598
21,2016-10-31,423,107406,107829
22,2016-11-30,140,100034,100174
23,2016-12-31,1174,99258,100432
24,2017-01-31,1087,96814,97901
25,2017-02-28,483,89559,90042
26,2017-03-31,882,105425,106307
27,2017-04-30,875,99764,100639
28,2017-05-31,154,107633,107787
29,2017-06-30,581,109650,110231
30,2017-07-31,655,112490,113145
31,2017-08-31,871,112598,113469
32,2017-09-30,1764,100344,102108
33,2017-10-31,154,105646,105800
34,2017-11-30,52,97842,97894
35,2017-12-31,1033,97429,98462
36,2018-01-31,1757,112316,114073
37,2018-02-28,1331,102340,103671
38,2018-03-31,1173,119754,120927
39,2018-04-30,392,118218,118610
40,2018-05-31,728,123433,124161
41,2018-06-30,720,126134,126854
42,2018-07-31,620,130550,131170
43,2018-08-31,566,130750,131316
44,2018-09-30,842,118708,119550
45,2018-10-31,476,124570,125046
46,2018-11-30,861,116410,117271
47,2018-12-31,667,118051,118718
