,Date,Airport,Latitude,Longitude,Max Temp,Precip,Precip Type,Wind Speed
0,2015-01-01,DFW,32.896,-97.037,36.0,0.58,"rain,snow,",8.0
1,2015-01-02,DFW,32.896,-97.037,39.8,0.28,"rain,",11.4
2,2015-01-03,DFW,32.896,-97.037,54.0,0.43,"rain,",12.7
3,2015-01-04,DFW,32.896,-97.037,43.1,0.0,NA,27.7
4,2015-01-05,DFW,32.896,-97.037,46.1,0.0,NA,16.1
5,2015-01-06,DFW,32.896,-97.037,56.9,0.0,NA,18.3
6,2015-01-07,DFW,32.896,-97.037,39.8,0.0,NA,31.1
7,2015-01-08,DFW,32.896,-97.037,37.1,0.0,NA,18.3
8,2015-01-09,DFW,32.896,-97.037,38.0,0.0,NA,18.3
9,2015-01-10,DFW,32.896,-97.037,37.1,0.04,"rain,snow,",13.8
10,2015-01-11,DFW,32.896,-97.037,42.2,0.38,"rain,snow,",11.4
11,2015-01-12,DFW,32.896,-97.037,43.1,0.0,NA,20.8
12,2015-01-13,DFW,32.896,-97.037,38.0,0.0,NA,15.0
13,2015-01-14,DFW,32.896,-97.037,40.9,0.0,NA,11.4
14,2015-01-15,DFW,32.896,-97.037,55.1,0.0,NA,11.4
15,2015-01-16,DFW,32.896,-97.037,63.0,0.0,NA,11.4
16,2015-01-17,DFW,32.896,-97.037,67.9,0.0,NA,21.9
17,2015-01-18,DFW,32.896,-97.037,69.2,0.0,NA,17.2
18,2015-01-19,DFW,32.896,-97.037,69.2,0.0,NA,12.7
19,2015-01-20,DFW,32.896,-97.037,70.1,0.0,NA,19.6
20,2015-01-21,DFW,32.896,-97.037,61.1,0.27,"rain,",15.0
21,2015-01-22,DFW,32.896,-97.037,47.0,1.1,"rain,",23.0
22,2015-01-23,DFW,32.896,-97.037,51.2,0.0,NA,21.9
23,2015-01-24,DFW,32.896,-97.037,58.9,0.0,NA,11.4
24,2015-01-25,DFW,32.896,-97.037,64.1,0.0,NA,28.8
25,2015-01-26,DFW,32.896,-97.037,72.0,0.0,NA,11.4
26,2015-01-27,DFW,32.896,-97.037,78.2,0.0,NA,10.3
27,2015-01-28,DFW,32.896,-97.037,79.1,0.0,NA,21.9
28,2015-01-29,DFW,32.896,-97.037,65.9,0.0,NA,20.8
29,2015-01-30,DFW,32.896,-97.037,56.0,0.0,NA,13.9
30,2015-01-31,DFW,32.896,-97.037,52.1,0.52,"rain,",17.2
31,2015-02-01,DFW,32.896,-97.037,56.9,0.12,"rain,",27.7
32,2015-02-02,DFW,32.896,-97.037,42.2,0.0,NA,23.0
33,2015-02-03,DFW,32.896,-97.037,53.1,0.0,NA,15.0
34,2015-02-04,DFW,32.896,-97.037,56.0,0.0,NA,24.1
35,2015-02-05,DFW,32.896,-97.037,37.1,0.0,NA,20.8
36,2015-02-06,DFW,32.896,-97.037,56.9,0.0,NA,15.0
37,2015-02-07,DFW,32.896,-97.037,69.2,0.0,NA,25.2
38,2015-02-08,DFW,32.896,-97.037,72.0,0.0,NA,20.8
39,2015-02-09,DFW,32.896,-97.037,74.0,0.0,NA,13.9
40,2015-02-10,DFW,32.896,-97.037,74.9,0.0,NA,17.2
41,2015-02-11,DFW,32.896,-97.037,66.8,0.0,NA,23.0
42,2015-02-12,DFW,32.896,-97.037,55.1,0.0,NA,19.7
43,2015-02-13,DFW,32.896,-97.037,66.8,0.0,NA,12.7
44,2015-02-14,DFW,32.896,-97.037,78.2,0.0,NA,13.8
45,2015-02-15,DFW,32.896,-97.037,73.1,0.01,"rain,",25.2
46,2015-02-16,DFW,32.896,-97.037,62.1,0.22,"rain,snow,",24.1
47,2015-02-17,DFW,32.896,-97.037,54.0,0.05,"rain,",12.8
48,2015-02-18,DFW,32.896,-97.037,56.0,0.0,NA,12.7
49,2015-02-19,DFW,32.896,-97.037,58.9,0.0,NA,18.3
50,2015-02-20,DFW,32.896,-97.037,69.2,0.0,NA,28.8
51,2015-02-21,DFW,32.896,-97.037,65.9,0.0,NA,29.9
52,2015-02-22,DFW,32.896,-97.037,49.9,1.31,"rain,snow,",23.0
53,2015-02-23,DFW,32.896,-97.037,29.0,0.17,"snow,",24.1
54,2015-02-24,DFW,32.896,-97.037,36.0,0.0,NA,11.4
55,2015-02-25,DFW,32.896,-97.037,51.2,0.66,"rain,snow,",10.3
56,2015-02-26,DFW,32.896,-97.037,38.0,0.0,NA,23.0
57,2015-02-27,DFW,32.896,-97.037,29.9,0.23,"snow,",19.7
58,2015-02-28,DFW,32.896,-97.037,30.8,0.23,"rain,snow,",9.2
59,2015-03-01,DFW,32.896,-97.037,37.1,0.07,"rain,snow,",13.9
60,2015-03-02,DFW,32.896,-97.037,39.8,0.02,"rain,snow,",15.0
61,2015-03-03,DFW,32.896,-97.037,52.1,0.07,"rain,",10.3
62,2015-03-04,DFW,32.896,-97.037,51.2,0.57,"rain,snow,",27.7
