Date,Origin,Destination,Expected Departure Time,Actual Departure Time,Departure Delay,Expected Arrival Time,Distance
2018-01-01,IAH,MFE,1440,0.0,0.0,1601,316.0
2018-01-01,MFE,IAH,1726,0.0,0.0,1844,316.0
2018-01-01,WRG,KTN,1623,0.0,0.0,1655,82.0
2018-01-01,WRG,PSG,1056,0.0,0.0,1119,31.0
2018-01-01,PSG,JNU,1204,0.0,0.0,1249,123.0
2018-01-01,IAH,BRO,1005,0.0,0.0,1130,308.0
2018-01-01,IAH,LRD,1005,0.0,0.0,1133,301.0
2018-01-01,BRO,IAH,1200,0.0,0.0,1319,308.0
2018-01-01,IAH,LRD,1420,0.0,0.0,1540,301.0
2018-01-01,LRD,IAH,1610,0.0,0.0,1725,301.0
2018-01-01,LRD,IAH,1203,0.0,0.0,1320,301.0
2018-01-01,ISP,MCO,600,801.0,121.0,900,971.0
2018-01-01,LAS,SAT,1450,0.0,0.0,1922,1069.0
2018-01-01,SAT,LAS,2015,0.0,0.0,2115,1069.0
2018-01-01,ONT,SAT,1201,0.0,0.0,1649,1166.0
2018-01-01,SAT,IAD,1739,0.0,0.0,2151,1362.0
2018-01-01,MSY,SAT,840,0.0,0.0,1025,494.0
2018-01-01,SAT,SAN,1115,0.0,0.0,1220,1129.0
2018-01-01,SAN,SAT,1323,0.0,0.0,1800,1129.0
2018-01-01,SAT,MSY,1850,0.0,0.0,2010,494.0
2018-01-01,BNA,DFW,1140,0.0,0.0,1355,631.0
2018-01-01,DFW,BNA,910,0.0,0.0,1103,631.0
2018-01-01,AEX,DFW,1945,0.0,0.0,2105,285.0
2018-01-01,DFW,AEX,1745,0.0,0.0,1852,285.0
2018-01-01,SJT,DFW,630,0.0,0.0,735,229.0
2018-01-01,ELP,DFW,1035,0.0,0.0,1318,551.0
2018-01-01,DFW,SHV,900,0.0,0.0,1002,190.0
2018-01-01,SHV,DFW,1031,0.0,0.0,1140,190.0
2018-01-01,TLH,DFW,830,0.0,0.0,1003,767.0
2018-01-01,DFW,SGF,810,0.0,0.0,926,364.0
2018-01-01,SGF,DFW,956,0.0,0.0,1135,364.0
2018-01-01,DFW,ELP,900,0.0,0.0,951,551.0
2018-01-01,OKC,DFW,700,0.0,0.0,804,175.0
2018-01-01,XNA,DFW,630,0.0,0.0,755,280.0
2018-01-01,DFW,LFT,1225,0.0,0.0,1345,351.0
2018-01-01,LFT,DFW,1415,0.0,0.0,1549,351.0
2018-01-01,CID,DFW,700,0.0,0.0,925,685.0
2018-01-01,ALB,ORD,1717,0.0,0.0,1851,723.0
2018-01-01,ORD,ALB,1245,0.0,0.0,1539,723.0
2018-01-01,TXK,DFW,1030,0.0,0.0,1138,181.0
2018-01-01,DFW,LAW,1250,0.0,0.0,1345,140.0
2018-01-01,LAW,DFW,1415,0.0,0.0,1511,140.0
2018-01-01,LAW,DFW,630,0.0,0.0,726,140.0
2018-01-01,DFW,LIT,855,0.0,0.0,1010,304.0
2018-01-01,LIT,DFW,1040,0.0,0.0,1205,304.0
2018-01-01,DFW,SPS,910,0.0,0.0,1010,113.0
2018-01-01,DFW,TYR,905,0.0,0.0,959,102.0
2018-01-01,TYR,DFW,1027,0.0,0.0,1129,102.0
2018-01-01,LIT,DFW,602,0.0,0.0,730,304.0
2018-01-01,DFW,AMA,2235,0.0,0.0,2349,312.0
2018-01-01,MLI,ORD,1124,0.0,0.0,1226,139.0
2018-01-01,ORD,MLI,1005,0.0,0.0,1059,139.0
2018-01-01,DFW,SGF,1225,0.0,0.0,1343,364.0
2018-01-01,SGF,DFW,1414,0.0,0.0,1544,364.0
2018-01-01,XNA,DCA,700,0.0,0.0,1031,963.0
2018-01-01,JLN,DFW,600,0.0,0.0,731,327.0
2018-01-01,DFW,LRD,1655,0.0,0.0,1824,396.0
2018-01-01,LRD,DFW,1854,0.0,0.0,2020,396.0
