ICAO Code,IATA Code,Airport Name,City/Town,Country,Latitude Decimal Degrees,Longitude Decimal Degrees
AYGA,GKA,GOROKA,GOROKA,PAPUA NEW GUINEA,-6.082000000000001,145.392
AYLA,LAE,,LAE,PAPUA NEW GUINEA,0.0,0.0
AYMD,MAG,MADANG,MADANG,PAPUA NEW GUINEA,-5.207000000000001,145.789
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,-5.8260000000000005,144.296
AYNZ,LAE,NADZAB,NADZAB,PAPUA NEW GUINEA,-6.57,146.726
AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,-9.443,147.22
AYRB,RAB,,RABAUL,PAPUA NEW GUINEA,0.0,0.0
AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,-3.5839999999999996,143.66899999999998
BGAM,,,ANGMAGSSALIK,GREENLAND,0.0,0.0
BGAS,,,ANGISSOQ,GREENLAND,0.0,0.0
BGAT,,,APUTITEQ,GREENLAND,0.0,0.0
BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,GREENLAND,61.161,-45.427
BGCH,JCH,,CHRISTIANSHAAB,GREENLAND,0.0,0.0
BGCO,,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,GREENLAND,70.73899999999999,-22.646
BGDB,,,DANEBORG,GREENLAND,0.0,0.0
BGDH,,,DANMARKSHAVN,GREENLAND,0.0,0.0
BGDU,,,DUNDAS,GREENLAND,0.0,0.0
BGEM,JEG,,EGEDESMINDE,GREENLAND,0.0,0.0
BGFD,,,FREDERIKSDAL,GREENLAND,0.0,0.0
BGFH,JFR,,FREDERIKSHAAB,GREENLAND,0.0,0.0
BGGD,JGR,,GRONNEDAL,GREENLAND,0.0,0.0
BGGH,GOH,NUUK,GODTHAAB,GREENLAND,64.191,-51.678000000000004
BGGN,JGO,,GODHAVN,GREENLAND,0.0,0.0
BGHB,JHS,,HOLSTEINSBORG,GREENLAND,0.0,0.0
BGIS,,,ISORTOQ,GREENLAND,0.0,0.0
BGIT,,,IVIGTUT,GREENLAND,0.0,0.0
BGJH,JJU,,JULIANEHAAB,GREENLAND,0.0,0.0
BGJN,JAV,JACOBSHAVN,JAKOBSHAVN,GREENLAND,69.233,-51.067
BGKD,,,KAP DAN,GREENLAND,0.0,0.0
BGKK,KUS,KULUSUK,KULUSUK,GREENLAND,65.583,-37.15
BGKM,,,KUNGMIUT,GREENLAND,0.0,0.0
BGKT,,,KAP TOBIN,GREENLAND,0.0,0.0
BGMV,,,MESTERS VIG,GREENLAND,0.0,0.0
BGNN,JNN,,NANORTALIK,GREENLAND,0.0,0.0
BGNS,JNS,,NARSSAQ,GREENLAND,0.0,0.0
BGOS,,,ORSSUIORSSUAQ,GREENLAND,0.0,0.0
BGPC,,,PRINS CHRISTIAN SUND,GREENLAND,0.0,0.0
BGRS,,,RAVNS STORO,GREENLAND,0.0,0.0
BGSC,,,SCORESBYSUND,GREENLAND,0.0,0.0
BGSF,SFJ,KANGERLUSSUAQ SONDRE STROMFJORD,SONDRESTROM,GREENLAND,67.017,-50.68899999999999
BGSG,,,SERMILIGAO,GREENLAND,0.0,0.0
BGST,JSU,,SUKKERTOPPEN,GREENLAND,0.0,0.0
BGTL,THU,THULE AIR BASE,THULE,GREENLAND,76.531,-68.703
BGTM,,,TINGMIARMIUT,GREENLAND,0.0,0.0
BGTN,,,TINITEQILAQ,GREENLAND,0.0,0.0
BGUM,,,UMANAK,GREENLAND,0.0,0.0
BGUP,JUV,,UPERNAVIK,GREENLAND,0.0,0.0
BIAR,AEY,AKUREYRI,AKUREYRI,ICELAND,65.66,-18.072
BIBL,,,BLONDUOS,ICELAND,0.0,0.0
BIDV,,,DJUOIVOGUR,ICELAND,0.0,0.0
BIEG,EGS,EGILSSTADIR,EGILSSTADIR,ICELAND,65.283,-14.401
BIFM,,,FAGURHOLSMYRI,ICELAND,0.0,0.0
BIGR,GRY,,GRIMSEY,ICELAND,0.0,0.0
BIHN,HFN,HORNAFJORDUR,HOFN,ICELAND,64.296,-15.227
BIHU,HZK,HUSAVIK,HUSAVIK,ICELAND,65.952,-17.426
BIIS,IFJ,ISAFJORDUR,ISAFJORDUR,ICELAND,66.058,-23.135
BIKF,KEF,KEFLAVIK NAS,KEFLAVIK,ICELAND,63.985,-22.605999999999998
BIKP,OPA,KOPASKER,KOPASKER,ICELAND,66.314,-16.461
BIKR,SAK,,SAUDARKROKUR,ICELAND,0.0,0.0
BINF,NOR,,NORDFJORDUR,ICELAND,0.0,0.0
BIPA,PFJ,PATREKSFJORDUR,PATREKSFJORDUR,ICELAND,65.556,-23.965
BIRG,RFN,,RAUFARHOFN,ICELAND,0.0,0.0
BIRK,RKV,REYKJAVIK,REYKJAVIK,ICELAND,64.13,-21.941
BISI,SIJ,SIGLUFJORDHUR,SIGLUFJORDUR,ICELAND,66.133,-18.917
BISS,,,SANDSKEID,ICELAND,0.0,0.0
BIST,,,STYKKISHOLMUR,ICELAND,0.0,0.0
BITE,TEY,,THINGEYRI,ICELAND,0.0,0.0
BITH,THO,,THORSHOFN,ICELAND,0.0,0.0
BIVM,VEY,VESTMANNAEYJAR,VESTMANNAEYJAR,ICELAND,63.424,-20.279
BIVO,VPN,,VOPNAFJORDUR,ICELAND,0.0,0.0
BZGD,,,GODLEY,NEW ZEALAND,0.0,0.0
CUAP,,,ACTIVE PASS,CANADA,0.0,0.0
CUHA,YQC,,QUAQTAQ,CANADA,0.0,0.0
CUQC,,,STIRLING,CANADA,0.0,0.0
CUUP,,,OTTAWA,CANADA,0.0,0.0
CWBF,,,BATTLE HARBOUR,CANADA,0.0,0.0
CWHJ,,,HOLBERG,CANADA,0.0,0.0
CWMK,,,SIMCOE,CANADA,0.0,0.0
CWMN,,,MOUNT FOREST,CANADA,0.0,0.0
CWOH,,,SAINTE AGATHE,CANADA,0.0,0.0
CWPC,,,PINCHER CREEK,CANADA,0.0,0.0
CWPO,,,PILOT MOUNT,CANADA,0.0,0.0
CWVA,,,BONAVISTA,CANADA,0.0,0.0
CYAB,YAB,,ARCTIC BAY,CANADA,0.0,0.0
CYAJ,,,KOMAKUK,CANADA,0.0,0.0
CYAL,YAL,,ALERT BAY,CANADA,0.0,0.0
CYAM,YAM,SAULT STE MARIE,SAULT SAINTE MARIE,CANADA,46.485,-84.509
CYAV,YAV,WINNIPEG ST ANDREWS,WINNIPEG,CANADA,50.056000000000004,-97.03200000000001
CYAW,YAW,SHEARWATER,HALIFAX,CANADA,44.64,-63.498999999999995
CYAY,YAY,ST ANTHONY,ST. ANTHONY,CANADA,51.391999999999996,-56.083999999999996
CYAZ,YAZ,TOFINO,TOFINO,CANADA,49.082,-125.772
CYBA,,,BANFF,CANADA,0.0,0.0
CYBB,YBB,KUGAARUK,PELLY BAY,CANADA,68.53399999999999,-89.80799999999999
CYBC,YBC,BAIE COMEAU,BAIE COMEAU,CANADA,49.132,-68.207
CYBG,YBG,BAGOTVILLE,BAGOTVILLE,CANADA,48.331,-70.99600000000001
CYBK,YBK,BAKER LAKE,BAKER LAKE,CANADA,64.29899999999999,-96.07799999999999
CYBL,YBL,CAMPBELL RIVER,CAMPBELL RIVER,CANADA,49.951,-125.271
CYBR,YBR,BRANDON MUNI,BRANDON,CANADA,49.91,-99.95200000000001
CYBT,YBT,,BROCHET,CANADA,0.0,0.0
CYCA,YRF,,CARTWRIGHT,CANADA,0.0,0.0
CYCB,YCB,CAMBRIDGE BAY,CAMBRIDGE BAY,CANADA,69.108,-105.13799999999999
CYCD,YCD,NANAIMO,NANAIMO,CANADA,49.052,-123.87
CYCG,YCG,CASTLEGAR,CASTLEGAR,CANADA,49.29600000000001,-117.632
CYCH,YCH,MIRAMICHI,CHATHAM,CANADA,47.008,-65.449
CYCL,YCL,CHARLO,CHARLO,CANADA,47.99100000000001,-66.331
CYCO,YCO,KUGLUKTUK,COPPERMINE,CANADA,67.817,-115.14399999999999
CYCS,YCS,,CHESTERFIELD INLET,CANADA,0.0,0.0
CYCT,YCT,CORONATION,CORONATION,CANADA,52.075,-111.445
CYCV,YCV,,MONTREAL,CANADA,0.0,0.0
CYCW,YCW,CHILLIWACK,CHILLIWACK,CANADA,49.153,-121.939
CYCX,,,CAMP GAGETOWN,CANADA,0.0,0.0
CYCY,YCY,CLYDE RIVER,CLYDE RIVER,CANADA,70.486,-68.517
CYCZ,YZS,FAIRMONT HOT SPRINGS,CORAL HARBOUR,CANADA,50.332,-115.874
CYDA,YDA,DAWSON,DAWSON,CANADA,64.043,-139.128
CYDB,YDB,BURWASH,BURWASH,CANADA,61.371,-139.041
CYDC,YDC,PRINCETON,PRINCETON,CANADA,49.468,-120.512
CYDF,YDF,DEER LAKE,DEER LAKE,CANADA,49.211000000000006,-57.391000000000005
CYDL,YDL,DEASE LAKE,DEASE LAKE,CANADA,58.422,-130.032
CYDN,YDN,DAUPHIN BARKER,DAUPHIN,CANADA,51.101000000000006,-100.052
CYDQ,YDQ,DAWSON CREEK,DAWSON CREEK,CANADA,55.742,-120.182
CYDR,,,BROADVIEW,CANADA,0.0,0.0
CYED,YED,EDMONTON NAMAO,EDMONTON,CANADA,53.667,-113.46700000000001
CYEG,YEG,EDMONTON INTERNATIONAL,EDMONTON,CANADA,53.31,-113.58
CYEK,YEK,ARVIAT,ESKIMO POINT,CANADA,61.093999999999994,-94.071
CYEN,YEN,ESTEVAN,ESTEVAN,CANADA,49.21,-102.96600000000001
CYEP,,,ESTEVAN POINT,CANADA,0.0,0.0
CYET,YET,EDSON,EDSON,CANADA,53.57899999999999,-116.465
CYEU,YEU,EUREKA,EUREKA,CANADA,79.995,-85.81299999999999
CYEV,YEV,INUVIK MIKE ZUBKO,INUVIK,CANADA,68.304,-133.483
CYFB,YFB,IQALUIT,IQALUIT,CANADA,63.756,-68.556
CYFC,YFC,FREDERICTON,FREDERICTON,CANADA,45.869,-66.532
CYFE,,FORESTVILLE,FORESTVILLE,CANADA,48.746,-69.097
CYFL,,,FORT RELIANCE,CANADA,0.0,0.0
CYFO,YFO,FLIN FLON,FLIN FLON,CANADA,54.678000000000004,-101.682
CYFR,YFR,FORT RESOLUTION,FORT RESOLUTION,CANADA,61.181000000000004,-113.69
CYFS,YFS,FORT SIMPSON,FORT SIMPSON,CANADA,61.76,-121.23700000000001
CYGA,,,GAGNON,CANADA,0.0,0.0
CYGK,YGK,KINGSTON,KINGSTON,CANADA,44.225,-76.597
CYGL,YGL,LA GRANDE RIVIERE,LA GRANDE RIVIERE,CANADA,53.625,-77.704
CYGP,YGP,GASPE,GASPE,CANADA,48.775,-64.479
CYGQ,YGQ,GERALDTON GREENSTONE REGIONAL,GERALDTON,CANADA,49.778,-86.939
